Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,normalized_speed,Beautiful,Boring,Depressing,Lively,Safety,Wealthy,Combined_Score1
2019-12-29 13:35:52:173,gps,30.50705565,114.4132727,28.59942627,6.4138093,0,0.08602326,11.26257515,0,0,29.752846,57.266125,49.476967,34.137398,31.678108,31.321383,0,48.92,65.6,42.36,41.2,40.2,37.8,37
2019-12-29 13:35:53:171,gps,30.50705443,114.4132762,28.71014404,5.42456388,0,0.08602326,10.79056931,0,0,29.277082,57.797695,49.420883,33.289467,31.50472,30.925598,0,47.8,59.84,41.32,36.94,27.5,36.68,36
2019-12-29 13:35:54:165,gps,30.50705252,114.4132753,28.12744141,5.06063509,0,0.08602326,10.62659359,0,0,29.134655,57.590668,49.238125,33.43894,31.901608,31.150427,0,47.8,57.86,41.08,35.1,28.7,36.78,36
2019-12-29 13:35:55:165,gps,30.50705571,114.4132757,27.61004639,4.62972355,0,0.08602326,10.41825962,0,0,28.70712,56.826145,50.298485,34.070873,30.329535,31.17213,0,48.06,60.1,41.14,34.3,28.32,36.74,36
2019-12-29 13:35:56:172,gps,30.50705794,114.4132772,26.99713135,4.17688847,0,0.08602326,10.23057175,0,0,29.590946,58.708958,49.05539,34.31978,31.8794,31.315088,0,48.92,58.7,41.42,31.88,26.5,36.8,37
2019-12-29 13:35:57:172,gps,30.50705975,114.4132787,27.45166016,3.97555828,0,0.08602326,10.1813736,0,0,29.072569,56.699196,49.75371,33.50041,31.466928,31.236116,0,47.76,59.58,40.82,36.84,30.52,36.32,36
2019-12-29 13:35:58:166,gps,30.50706014,114.4132849,27.3848877,3.79027843,0,0.08602326,10.13732815,0,0,28.69776,57.03581,50.470455,33.932568,31.558609,32.50924,0,50.78,56.96,41.42,38.94,29.64,36.56,37
2019-12-29 13:35:59:170,gps,30.50706064,114.4132844,28.02587891,3.38446832,0,0.08602326,10.02420712,0,0,29.378244,56.77786,48.287235,33.63373,31.721062,31.614017,0,51.38,60.9,41.36,36.24,40.32,36.28,37
2019-12-29 13:36:00:162,gps,30.50706251,114.4132852,28.98852539,3.27485347,0,0.08602326,10.00236511,0,0,29.270945,55.52887,47.846035,33.819393,32.48428,31.550308,0,48.66,59.08,41.16,35.76,27.32,36.16,37
2019-12-29 13:36:01:166,gps,30.50706446,114.4132828,29.44750977,3.00592256,0,0.08602326,9.9350462,0,0,29.900627,57.68629,49.75776,34.17114,31.440845,31.407122,0,47.28,61.92,41.66,37.24,29.84,37.02,37
2019-12-29 13:36:02:169,gps,30.50706551,114.4132772,29.66424561,2.86317325,0,0.08602326,9.9350462,0,0,30.567535,57.21313,49.979935,34.639885,32.305313,32.063103,0,47.32,59.24,41.32,38.5,29.96,36.36,37
2019-12-29 13:36:03:167,gps,30.50706696,114.413273,29.17797852,2.82043719,0,0.08602326,9.9350462,0,0,28.650042,55.708637,49.28975,34.336224,34.463264,33.12582,0,46.92,59.38,40.58,36.08,28.86,37.02,38
2019-12-29 13:36:04:172,gps,30.50707053,114.413269,28.77349854,2.86666489,0,0.08602326,9.9350462,0,0,26.475237,50.17207,49.874233,33.93162,31.897755,32.54609,0,47.9,59.74,41.32,35.86,29.32,36.5,37
2019-12-29 13:36:06:262,gps,30.50707626,114.413269,28.30889893,3.01251221,0,0.08602326,9.95562553,0,0,26.545921,51.77735,47.37573,33.92507,32.71464,34.266758,0,52.86,60.14,43.94,42.8,41.24,44.18,38
2019-12-29 13:36:07:165,gps,30.50707345,114.4132796,27.29052734,3.84004211,0,0.08602326,10.24046135,0,0,26.342228,52.187267,47.386284,34.09421,32.336243,34.270847,0,51.52,59.68,44.04,42.08,39.94,40.76,38
2019-12-29 13:36:08:167,gps,30.50706755,114.413288,26.68762207,3.62147617,0,0.08602326,10.17158699,0,0,26.44621,51.999508,47.544693,34.12279,32.263454,34.265682,0,53.48,59.98,44.14,42.36,40.06,44.7,38
2019-12-29 13:36:09:171,gps,30.50706447,114.4132855,25.52429199,3.56681824,0,0.08602326,10.16119862,0,0,26.405441,52.450874,47.799713,34.043385,32.376785,34.043705,0,53.74,59.98,44.18,41.92,39.98,44.7,38
2019-12-29 13:36:10:161,gps,30.50706281,114.4132826,24.8460083,3.54243135,0,0.08602326,10.15991974,0,0,25.38579,53.025955,48.550163,34.6901,33.721336,35.51983,0,54.16,59.44,44.2,42.56,40.02,44.7,38
2019-12-29 13:36:11:164,gps,30.50706006,114.4132921,23.96832275,3.4465158,0,0.08602326,10.13498783,0,0,30.796835,49.911915,46.115246,32.926983,36.495502,35.411064,0,53.16,57.96,44.3,43.36,39.96,44.7,40
2019-12-29 13:36:12:166,gps,30.50705943,114.4132952,23.85852051,3.20226026,0,0.08602326,10.05617714,0,0,28.898045,49.715466,44.66927,35.761387,36.67494,38.682636,0,53.5,60.3,44.28,41.86,39.68,44.7,41
2019-12-29 13:36:13:171,gps,30.50705684,114.4133018,23.90686035,3.11910653,0,0.08602326,10.0372591,0,0,27.208315,49.663105,45.981285,32.69018,37.601883,37.865902,0,46.8,64.2,38.44,36.8,33.71,35.38,40
2019-12-29 13:36:14:168,gps,30.50705738,114.413304,24.17218018,2.92117906,0,0.08602326,9.97298336,0,0,26.732851,50.251053,45.57979,33.209064,38.430607,37.459915,0,51.22,71.92,43.58,44.2,37.54,35.82,40
2019-12-29 13:36:15:167,gps,30.50705037,114.4133041,23.52600098,2.62499213,0,0.08602326,9.9350462,0,0,26.26142,50.809948,45.554844,33.08643,38.60451,36.98957,0,47.92,69.42,41.58,35.52,27.06,34.86,40
2019-12-29 13:36:16:165,gps,30.50705007,114.4133061,22.809021,2.54095912,0,0.08602326,9.9350462,0,0,26.129707,50.514454,45.70822,34.392906,38.163174,37.120068,0,48.34,64.48,41.72,37.7,27.82,35.56,40
2019-12-29 13:36:17:164,gps,30.50704922,114.4133075,22.25634766,2.56047535,0,0.08602326,9.9350462,0,0,26.194237,50.427616,46.26794,33.804844,38.15732,36.600636,0,47.9,70.04,43.82,42.42,39.28,36.64,40
2019-12-29 13:36:18:164,gps,30.50704859,114.4133047,22.35699463,2.56233931,0,0.08602326,9.9350462,0,0,26.117113,50.171055,46.178677,34.877087,38.357048,37.052456,0,48.6,70.2,41.66,38.84,29.9,35.18,40
2019-12-29 13:36:19:168,gps,30.50704772,114.4133016,22.38928223,2.59779215,0,0.08602326,9.9350462,0,0,26.051683,50.42944,46.34457,34.096664,38.233932,36.8542,0,47.3,70.66,42.16,37.9,28.38,35.7,40
2019-12-29 13:36:20:167,gps,30.50704602,114.4133072,21.78479004,2.70622253,0,0.08602326,9.9350462,0,0,26.106503,50.60963,45.86288,33.476406,38.473083,37.475536,0,48.56,69.64,40,39.1,31.44,35.16,40
2019-12-29 13:36:21:164,gps,30.50704198,114.4133101,21.98730469,2.64582419,0,0.08602326,9.9350462,0,0,26.166565,50.86672,46.40727,33.30814,38.21641,36.82542,0,47.44,70.9,41.86,38.36,28.34,35.34,40
2019-12-29 13:36:22:165,gps,30.50703869,114.4133093,21.82275391,2.68942809,0,0.08602326,9.9350462,0,0,25.717203,50.623096,46.43674,34.297916,38.303917,36.935516,0,50.12,70.8,40.7,37.8,26.98,35.56,40
2019-12-29 13:36:23:160,gps,30.50703653,114.4133081,21.02606201,2.77734733,0,0.08602326,9.9350462,0,0,25.607733,50.742462,46.216064,34.273033,38.038704,37.06933,0,47.68,71.2,41.98,37.7,26.7,35.52,40
2019-12-29 13:36:24:164,gps,30.50703431,114.4133033,20.53985596,2.6841507,0,0.08602326,9.9350462,0,0,25.917337,50.43717,46.66843,34.08817,38.250988,37.08663,0,46.9,71.16,42.42,38.12,26.88,35.76,40
2019-12-29 13:36:25:165,gps,30.50703284,114.4133071,20.81433105,2.5,0,0.08602326,9.9350462,0,0,26.063623,50.621807,45.33531,33.229794,38.547626,36.7559,0,50.62,71.34,39.6,38.38,29.36,35.86,40
2019-12-29 13:36:26:158,gps,30.50702907,114.4133139,20.71569824,2.63910842,0,0.08602326,9.9350462,0,0,25.755573,50.624672,46.361526,34.33881,38.565388,36.947765,0,46.82,71.06,42.18,37.12,26.36,35.84,40
2019-12-29 13:36:27:162,gps,30.50702633,114.413314,20.85455322,2.81808543,0,0.08602326,9.9350462,0,0,25.927492,50.746723,46.056007,34.086277,38.636093,36.989586,0,46.86,70.88,42.18,37.3,26.92,35.68,40
2019-12-29 13:36:28:165,gps,30.50702433,114.4133121,20.94940186,2.70376277,0,0.08602326,9.9350462,0,0,26.300152,51.336346,46.051403,34.403175,38.40287,36.603527,0,47.02,71.2,42.34,37.62,27.26,35.6,40
2019-12-29 13:36:29:166,gps,30.50702578,114.413312,20.74353027,2.61762452,0,0.08602326,9.9350462,0,0,25.744139,50.164562,45.89755,33.28359,38.63055,36.902927,0,49.76,71.8,40.7,38.16,30.28,35.64,40
2019-12-29 13:36:30:159,gps,30.50703089,114.4133142,21.13922119,2.88787842,0,0.08602326,9.95369244,0,0,25.490322,49.87402,48.88458,35.759872,37.537933,38.687656,0,47.02,71.1,42.34,36.94,26.52,35.7,40
2019-12-29 13:36:31:168,gps,30.50702944,114.4133189,21.46258545,3.13745451,0,0.08602326,10.04394054,0,0,34.52246,51.530777,41.962814,35.142273,32.27273,36.005844,0,49.12,72.98,42.32,37.94,36.48,36.12,41
2019-12-29 13:36:32:174,gps,30.50703303,114.4133149,21.58972168,3.31442785,0.28,0.8544004,10.11381245,7.30000019,80.14237976,31.46624,53.506275,44.07647,27.94544,30.438667,35.24914,4,50.52,72.3,42.86,42.62,37.66,36.76,38
2019-12-29 13:36:33:164,gps,30.50704648,114.4133173,21.92926025,3.40319777,1.78999996,0.39824617,10.15435314,7.30000019,8.48960018,29.363138,52.96214,46.720905,28.713058,29.562529,31.568405,26,47.36,63.96,40.5,36.76,29.56,35.82,37
2019-12-29 13:36:34:160,gps,30.50706663,114.4133167,21.52807617,3.70010614,2.91000009,1.38405204,10.27058506,1.20000005,23.94212723,31.921923,47.702545,46.953167,29.153082,33.098465,30.72692,42,48.48,71.64,43.52,42.5,38.92,35.6,38
2019-12-29 13:36:35:162,gps,30.50710304,114.4133213,21.90063477,4.01863146,4.28999996,1.7431581,10.37716961,3.5999999,19.53337669,31.222795,55.762302,44.94204,32.353046,29.475382,32.5337,62,51.4,64.08,41.26,43.8,40.08,37.24,37
2019-12-29 13:36:36:166,gps,30.50714498,114.4133254,21.61004639,4.39046574,4.82999992,1.76139152,10.51795006,5.5999999,17.02805519,32.179432,51.81103,44.283627,32.37564,33.052235,29.336245,70,48,72.12,42.66,42.64,38.14,34.62,38
2019-12-29 13:36:37:170,gps,30.5071861,114.4133287,21.56292725,4.31538439,4.3499999,1.78932953,10.44677448,3.5999999,19.01647949,28.438986,56.61706,44.632793,32.0726,30.883387,32.097042,63,49.1,72.06,43.62,41.48,39.08,36.18,37
2019-12-29 13:36:38:165,gps,30.50722334,114.41333,21.94677734,4.02298307,4.09000015,1.06508219,10.29359436,2,9.60313416,28.973503,51.876972,46.014435,32.783512,33.431034,29.872889,59,50.5,71.34,43.12,40.5,40.12,37.78,38
2019-12-29 13:36:39:166,gps,30.50726854,114.4133203,22.41442871,3.88474441,5.25,0.80956781,10.22538567,352,4.36737251,34.01648,56.647934,42.685005,23.156536,32.78003,31.270079,76,50.58,65.82,42.44,38.18,37.7,36.26,37
2019-12-29 13:36:40:158,gps,30.50731725,114.4133102,22.39111328,3.64147902,5.71000004,0.99357939,10.15570736,348.3999939,7.2504406,24.705744,59.505695,44.69784,29.371939,38.32504,34.643192,82,48.42,59.92,43.18,37.5,34.96,36.56,37
2019-12-29 13:36:41:162,gps,30.50736806,114.413293,22.53210449,3.71047568,6.01999998,1.13145924,10.19802284,339,8.76439857,38.738533,65.5413,43.145115,18.770798,28.670475,35.51294,87,47.82,63.54,42.54,41.04,37.82,37.6,36
2019-12-29 13:36:42:164,gps,30.50742619,114.4132635,23.76220703,3.80259228,6.84000015,0.97000003,10.10011578,328,6.16675568,38.89326,65.38697,47.014145,19.315645,32.47481,30.886911,98,48.56,60.88,42.7,41.72,37.62,35.34,35
2019-12-29 13:36:43:162,gps,30.50747829,114.4132197,24.02044678,3.7264564,7.1500001,0.98229325,10.00210094,315.1000061,5.21800137,26.176348,54.970173,51.42601,36.297054,32.32996,39.83827,103,55.02,58.02,41.98,39.14,37.4,37.96,38
2019-12-29 13:36:44:167,gps,30.50751004,114.4131493,23.2019043,3.85229445,8.11999989,1.21823645,10.03123093,295.2999878,6.04673815,23.604258,63.71557,44.752453,38.379135,29.45332,38.421844,117,47.66,59.46,39.86,33.46,27.46,36.68,37
2019-12-29 13:36:45:164,gps,30.50753299,114.4130605,23.22113037,3.80984163,9.72000027,1.32136297,10.1271162,275.7999878,5.62200403,21.592976,56.843147,57.270805,39.549366,43.173992,35.631447,140,54.36,57.84,41.3,39.26,33.32,35.38,38
2019-12-29 13:36:46:160,gps,30.50754724,114.4129426,22.17712402,4.09031248,11.43999958,1.37,10.28540134,273.8999939,5.00634861,25.604826,56.00649,54.399532,26.364912,42.399204,35.47646,165,51.44,61.36,44.78,44.24,41.68,35.46,37
2019-12-29 13:36:47:169,gps,30.50755565,114.412818,21.79058838,3.86222577,12.48999977,1.56540728,10.45772171,274.5,4.79106045,24.029001,49.928005,51.858223,27.566156,42.127712,34.23766,180,50.1,59.78,43.7,45.34,41.48,45.96,38
2019-12-29 13:36:48:160,gps,30.50757183,114.4126767,23.18463135,3.81578207,14.22999954,1.69000006,10.37473679,275.1000061,4.1493535,22.55451,50.377735,53.584976,26.11732,35.855537,34.136047,205,48.72,60.32,43.96,51.06,42.48,44.58,36
2019-12-29 13:36:49:170,gps,30.50758672,114.4125206,23.28521729,4.62500238,15.43000031,1.68014884,10.76891708,275.2999878,3.67698336,25.13139,56.31172,47.714657,26.512655,33.936996,34.362457,222,49.34,64.26,42.98,55.14,42.68,52.4,36
2019-12-29 13:36:50:158,gps,30.50759597,114.412362,24.08703613,4.30614042,15.52999973,1.67475367,10.7709837,274.3999939,3.55248094,31.916655,50.289272,41.01487,34.672554,29.954502,35.45672,223,53.4,70.26,41.6,48.04,37.74,35.52,40
2019-12-29 13:36:51:161,gps,30.50761214,114.4121881,23.72180176,4.70323944,16.82999992,1.55563498,10.82376671,275.7999878,3.3791399,31.759735,54.118313,47.914703,30.378323,31.856546,35.349174,242,50.6,64.64,42.26,53.96,41.53,43.54,38
2019-12-29 13:36:52:158,gps,30.50763627,114.4120033,24.55834961,5.27314901,17.62999916,1.49281609,11.0940218,275.8999939,4.0129776,33.52863,55.331898,46.564526,36.0149,35.37984,41.981518,254,56.96,70.78,42.14,48.3,38.28,36.06,41
2019-12-29 13:36:53:161,gps,30.50765061,114.4118216,24.88543701,4.79661798,17.71999931,1.57206869,11.42268181,275.8999939,3.84939599,30.519575,57.686863,48.41676,26.768236,33.390427,40.026264,255,52.86,70.68,41.7,51.98,40.45,41.76,37
2019-12-29 13:36:54:169,gps,30.50766696,114.4116421,24.53955078,5.35567379,17.42000008,1.6493938,11.5394268,276.8999939,4.5577507,33.765045,55.536785,44.188854,31.09751,31.844723,42.92459,251,56.32,70.26,39.86,45.56,37.08,38.08,40
2019-12-29 13:36:55:163,gps,30.50768335,114.4114646,24.42260742,5.49945021,16.92000008,1.67107749,11.37385654,277.2000122,4.99400568,28.264149,52.53567,42.120007,32.504765,30.159708,45.59563,243,51.56,70.08,42.24,50.34,40.06,34.32,40
2019-12-29 13:36:56:166,gps,30.50770025,114.4112873,24.66241455,6.12026834,16.84000015,2.35849524,11.87123394,276.2999878,4.19414759,25.611704,66.07728,45.45799,26.504717,37.807526,42.50199,242,54.66,59.76,42.22,43.72,39.8,36.8,37
2019-12-29 13:36:57:170,gps,30.50770618,114.4111313,24.82421875,6.86431074,15.19999981,2.74116755,12.61596775,274.2999878,4.74084806,27.153727,55.432617,48.444344,25.385124,35.078102,44.84829,219,62.86,60.4,41.82,39.52,40,35.46,38
2019-12-29 13:36:58:169,gps,30.50771331,114.4109802,25.49468994,7.67529964,14.52000046,2.82554412,13.41255951,272.2000122,5.03769016,26.593899,49.910515,46.585545,36.374493,35.226196,38.15988,209,58.44,60.7,42.78,43.72,39.9,34.32,40
2019-12-29 13:36:59:168,gps,30.50772327,114.4108278,25.93450928,8.43667126,14.60000038,2.83425474,14.12784958,271.8999939,5.12392187,30.453089,53.340305,45.393764,35.49335,37.75322,48.283573,210,61.12,60.04,42.7,49.02,41.8,39.82,42
2019-12-29 13:37:00:167,gps,30.50772022,114.4106617,26.05316162,9.21088505,15.81000042,2.04137206,14.21911812,271.2000122,3.64554811,29.010845,54.79539,47.33451,28.766638,30.284338,40.585842,228,57.52,61.7,42.68,42.29,40.48,42.8,38
2019-12-29 13:37:01:171,gps,30.50771503,114.4104993,26.22949219,9.22664928,16.20000076,1.76980221,13.72791481,270.3999939,3.52174067,27.813065,50.074024,43.715733,35.059734,31.678923,41.5506,233,50.5,60.34,42.74,49.05,42.44,46.4,40
2019-12-29 13:37:02:168,gps,30.50772797,114.4103306,26.58050537,8.6806612,15.17000008,1.6877203,12.96087646,268.3999939,3.54407001,17.109348,54.39825,41.868244,41.03529,31.374458,36.14542,218,49.82,60.28,42.86,44.52,43.36,45.16,38
2019-12-29 13:37:03:169,gps,30.50771875,114.410186,27.01593018,8.8966217,13.82999992,1.44810224,12.92709827,266.7000122,3.79580927,28.13772,54.757893,44.331963,29.233717,35.016857,27.840464,199,49.38,65.16,43.78,56.85,41.56,45.78,37
2019-12-29 13:37:04:167,gps,30.50770057,114.4100545,26.53826904,8.14464569,12,1.17443609,12.33205414,262.6000061,3.94734478,36.435074,55.804806,48.11621,40.64724,37.448765,31.004126,173,41.03,64.64,51.96,55.19,40.26,60.05,40
